Event_ID,League,Match_Name,Match_Date,Stadium,City,Seat_Category,Ticket_Price,Sale_Date,Days_Before_Match,Quantity,Weather,Day_of_Week,Demand_Level
EVT0074,PKL,Patna Pirates vs Tamil Thalaivas,30-07-2025,Patliputra Sports Complex,Patna,General,500,17-05-2025,74,1,Hazy,Wednesday,High
EVT0105,PKL,Patna Pirates vs Telugu Titans,08-10-2024,Gachibowli Indoor Stadium,Hyderabad,General,550,22-09-2024,16,5,Hazy,Tuesday,High
EVT0087,PKL,Dabang Delhi K.C. vs Gujarat Giants,03-08-2024,Thyagaraj Sports Complex,Delhi,General,550,14-07-2024,20,2,Clear,Saturday,High
EVT0218,IPL,Delhi Capitals vs Gujarat Titans,28-05-2023,Narendra Modi Stadium,Ahmedabad,Premium,5550,24-04-2023,34,4,Sunny,Sunday,High
EVT0283,ISL,Mumbai City FC vs Bengaluru FC,24-10-2024,Mumbai Football Arena,Mumbai,Premium,2250,21-10-2024,3,5,Clear,Thursday,High
EVT0291,ISL,Mohun Bagan Super Giant vs Chennaiyin FC,18-12-2023,"Jawaharlal Nehru Stadium, Chennai",Chennai,General,900,19-11-2023,29,5,Rainy,Monday,High
EVT0260,ISL,NorthEast United FC vs Mumbai City FC,22-10-2025,Indira Gandhi Athletic Stadium,Guwahati,Premium,1500,02-10-2025,20,1,Clear,Wednesday,Medium
EVT0206,IPL,Gujarat Titans vs Kolkata Knight Riders,01-05-2023,Narendra Modi Stadium,Ahmedabad,General,2250,21-04-2023,10,6,Hazy,Monday,High
EVT0087,PKL,Dabang Delhi K.C. vs Gujarat Giants,03-08-2024,Thyagaraj Sports Complex,Delhi,General,550,03-06-2024,61,8,Clear,Saturday,High
EVT0216,ISL,Odisha FC vs Mumbai City FC,14-12-2025,Mumbai Football Arena,Mumbai,General,950,28-11-2025,16,1,Clear,Sunday,High
EVT0145,IPL,Punjab Kings vs Mumbai Indians,18-05-2023,Wankhede Stadium,Mumbai,Premium,5400,01-04-2023,47,3,Clear,Thursday,High
EVT0081,IPL,Royal Challengers Bengaluru vs Delhi Capitals,28-04-2024,M. Chinnaswamy Stadium,Bengaluru,VIP,11300,28-03-2024,31,2,Cloudy,Sunday,High
EVT0101,PKL,Patna Pirates vs U Mumba,31-08-2023,Sardar Vallabhbhai Patel Indoor Stadium,Mumbai,VIP,2750,16-08-2023,15,10,Rainy,Thursday,High
EVT0245,ISL,NorthEast United FC vs Bengaluru FC,22-02-2025,Indira Gandhi Athletic Stadium,Guwahati,Premium,2200,31-12-2024,53,2,Sunny,Saturday,High
EVT0272,IPL,Gujarat Titans vs Mumbai Indians,08-05-2025,Wankhede Stadium,Mumbai,Premium,5500,24-04-2025,14,1,Clear,Thursday,High
EVT0074,PKL,Patna Pirates vs Tamil Thalaivas,30-07-2025,Patliputra Sports Complex,Patna,General,550,12-06-2025,48,1,Hazy,Wednesday,High
EVT0211,IPL,Delhi Capitals vs Gujarat Titans,29-04-2025,Narendra Modi Stadium,Ahmedabad,Premium,3750,20-03-2025,40,2,Clear,Tuesday,Medium
EVT0093,IPL,Delhi Capitals vs Rajasthan Royals,25-03-2025,Arun Jaitley Stadium,Delhi,General,1400,12-03-2025,13,2,Sunny,Tuesday,Medium
EVT0160,IPL,Mumbai Indians vs Punjab Kings,08-04-2024,Wankhede Stadium,Mumbai,General,2100,05-03-2024,34,1,Clear,Monday,High
EVT0111,IPL,Mumbai Indians vs Rajasthan Royals,24-05-2024,Wankhede Stadium,Mumbai,Premium,5300,17-04-2024,37,1,Clear,Friday,High
EVT0011,IPL,Delhi Capitals vs Kolkata Knight Riders,26-03-2025,Eden Gardens,Kolkata,Premium,5150,25-02-2025,29,2,Clear,Wednesday,High
EVT0203,IPL,Punjab Kings vs Sunrisers Hyderabad,25-03-2023,PCA Stadium,Mohali,General,2250,09-02-2023,44,4,Hazy,Saturday,High
EVT0146,PKL,Jaipur Pink Panthers vs Haryana Steelers,09-09-2024,Sawai Mansingh Indoor Stadium,Jaipur,Premium,1350,03-07-2024,68,1,Cloudy,Monday,High
EVT0249,ISL,Chennaiyin FC vs Mohun Bagan Super Giant,02-11-2025,"Jawaharlal Nehru Stadium, Chennai",Chennai,Premium,2250,08-10-2025,25,3,Rainy,Sunday,High
EVT0009,IPL,Delhi Capitals vs Lucknow Super Giants,23-03-2025,Arun Jaitley Stadium,Delhi,General,2150,21-03-2025,2,1,Sunny,Sunday,High
EVT0013,PKL,UP Yoddhas vs Gujarat Giants,05-07-2025,Noida Indoor Stadium,Noida,General,350,31-05-2025,35,2,Clear,Saturday,Medium
EVT0111,IPL,Mumbai Indians vs Rajasthan Royals,24-05-2024,Wankhede Stadium,Mumbai,Premium,5150,21-04-2024,33,2,Clear,Friday,High
EVT0284,IPL,Mumbai Indians vs Rajasthan Royals,10-04-2024,Wankhede Stadium,Mumbai,General,2200,02-03-2024,39,1,Clear,Wednesday,High
EVT0191,IPL,Chennai Super Kings vs Lucknow Super Giants,23-04-2025,M. A. Chidambaram Stadium,Chennai,VIP,11200,14-03-2025,40,2,Humid,Wednesday,High
EVT0046,IPL,Delhi Capitals vs Chennai Super Kings,25-03-2024,Arun Jaitley Stadium,Delhi,Premium,5400,21-03-2024,4,3,Sunny,Monday,High
EVT0214,IPL,Gujarat Titans vs Mumbai Indians,24-03-2025,Wankhede Stadium,Mumbai,Premium,5600,04-03-2025,20,4,Clear,Monday,High
EVT0218,IPL,Delhi Capitals vs Gujarat Titans,28-05-2023,Narendra Modi Stadium,Ahmedabad,General,2150,18-04-2023,40,2,Sunny,Sunday,High
EVT0113,IPL,Royal Challengers Bengaluru vs Kolkata Knight Riders,13-05-2024,Eden Gardens,Kolkata,Premium,5650,15-04-2024,28,1,Humid,Monday,High
EVT0139,IPL,Rajasthan Royals vs Royal Challengers Bengaluru,28-04-2025,M. Chinnaswamy Stadium,Bengaluru,General,2200,10-02-2025,77,4,Cloudy,Monday,High
EVT0050,ISL,Jamshedpur FC vs Kerala Blasters FC,19-11-2023,Jawaharlal Nehru Stadium,Kochi,General,900,12-11-2023,7,1,Clear,Sunday,High
EVT0140,ISL,Bengaluru FC vs Kerala Blasters FC,25-12-2023,Sree Kanteerava Stadium,Bengaluru,General,950,18-12-2023,7,7,Cloudy,Monday,High
EVT0144,IPL,Gujarat Titans vs Sunrisers Hyderabad,14-04-2024,Narendra Modi Stadium,Ahmedabad,General,2100,28-01-2024,77,2,Rainy,Sunday,High
EVT0130,IPL,Punjab Kings vs Royal Challengers Bengaluru,23-03-2023,M. Chinnaswamy Stadium,Bengaluru,General,2150,08-02-2023,43,2,Cloudy,Thursday,High
EVT0050,ISL,Jamshedpur FC vs Kerala Blasters FC,19-11-2023,Jawaharlal Nehru Stadium,Kochi,General,900,17-10-2023,33,1,Clear,Sunday,High
EVT0256,IPL,Mumbai Indians vs Delhi Capitals,26-05-2023,Wankhede Stadium,Mumbai,General,2150,26-03-2023,61,4,Clear,Friday,High
EVT0097,ISL,NorthEast United FC vs Mohun Bagan Super Giant,18-10-2025,Indira Gandhi Athletic Stadium,Guwahati,Premium,2250,23-09-2025,25,2,Hazy,Saturday,High
EVT0073,IPL,Chennai Super Kings vs Lucknow Super Giants,05-04-2023,M. A. Chidambaram Stadium,Chennai,Premium,5500,11-03-2023,25,1,Humid,Wednesday,High
