Event_ID,League_Code,Team_A_Code,Team_B_Code,Match_Date,Stadium_Code,City_Code,Seat_Category_Code,Ticket_Price,Sale_Date,Days_Before_Match,Quantity,Weather_Code,Day_of_Week_Code,Demand_Level_Code
436,7,64,70,2025-05-21,8,8,3,15000,2024-12-22,150,5,2,3,2
192,2,17,13,2024-04-19,10,10,4,11059,2024-04-04,15,3,4,5,2
485,3,28,30,2025-02-15,10,10,1,11935,2024-10-08,130,4,4,6,2
431,8,79,80,2024-12-03,2,2,2,15000,2024-10-20,44,2,2,2,3
462,8,74,78,2023-08-05,9,9,1,9060,2023-07-21,15,1,1,6,3
492,1,2,5,2023-10-16,5,5,2,8123,2023-09-05,41,7,1,1,2
407,7,62,67,2024-09-04,3,3,1,7680,2024-08-30,5,10,3,3,2
42,10,96,100,2023-08-19,4,4,1,7383,2023-03-12,160,7,3,6,2
170,2,11,13,2023-07-09,1,1,1,9753,2023-03-10,121,9,4,7,1
198,7,64,70,2024-03-17,4,4,4,15000,2024-02-07,39,2,3,7,1
81,8,78,73,2025-12-12,10,10,4,15000,2025-07-05,160,7,4,5,1
255,1,10,7,2023-07-06,6,6,4,15000,2023-04-04,93,3,4,4,1
346,3,26,22,2025-05-21,1,1,3,15000,2024-11-24,178,7,2,3,1
112,10,95,93,2024-03-28,5,5,4,15000,2024-03-19,9,9,3,4,2
404,3,29,25,2023-09-11,3,3,4,15000,2023-06-04,99,9,5,1,1
194,2,19,12,2025-03-26,4,4,4,15000,2024-11-18,128,8,3,3,2
470,3,21,24,2023-01-27,2,2,1,7192,2022-12-28,30,1,4,5,2
317,5,48,46,2025-12-05,5,5,2,1518,2025-08-28,99,9,5,5,3
95,5,42,49,2023-05-08,2,2,1,4965,2023-03-15,54,10,3,1,2
288,2,20,11,2023-09-03,7,7,1,15000,2023-03-17,170,7,2,7,3
13,8,76,73,2024-10-15,3,3,3,15000,2024-05-25,143,2,2,2,2
51,6,55,53,2025-12-13,5,5,1,229,2025-12-05,8,5,4,6,1
196,7,68,62,2024-09-27,10,10,2,15000,2024-05-03,147,1,3,5,2
229,10,93,92,2024-09-25,1,1,3,15000,2024-08-22,34,6,1,3,2
192,7,68,61,2024-11-27,5,5,3,15000,2024-08-25,94,4,5,3,2
432,10,99,98,2025-03-12,4,4,3,15000,2024-10-25,138,10,3,3,2
325,8,75,76,2024-11-20,3,3,4,15000,2024-10-18,33,1,5,3,2
65,3,26,29,2024-05-13,2,2,3,15000,2024-02-22,81,10,5,1,3
115,2,16,18,2024-12-29,5,5,1,15000,2024-07-18,164,10,5,7,2
177,3,28,30,2023-10-06,9,9,3,15000,2023-06-23,105,1,1,5,2
